sentence_id	sentence_text	token_id	token	annotator_1	annotator_2	resolved_label	reviewer_note
277	bisakah hamil tanpa haid selepas suntik kb bulan	4	haid	O	I-GEJALA	O	
280	kemungkinan hamil saat telat haid pasca nifas	2	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
281	perbedaan kegunaan dan kandungan jenisjenis obat maag	4	kandungan	B-ANATOMI	O	O	
282	aturan konsumsi obat secara bersamaan saat hamil	7	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
284	penyebab sering pilek pusing dada sesak dan mata gatal hebat	3	pilek	B-GEJALA	I-GEJALA	B-GEJALA	
284	penyebab sering pilek pusing dada sesak dan mata gatal hebat	8	mata	B-GEJALA	B-ANATOMI	B-ANATOMI	
284	penyebab sering pilek pusing dada sesak dan mata gatal hebat	9	gatal	I-GEJALA	B-GEJALA	B-GEJALA	
284	penyebab sering pilek pusing dada sesak dan mata gatal hebat	10	hebat	O	I-GEJALA	I-GEJALA	
286	penyebab haid kali dalam bulan disertai sakit perut	2	haid	O	B-GEJALA	O	
286	penyebab haid kali dalam bulan disertai sakit perut	8	perut	I-GEJALA	B-ANATOMI	B-ANATOMI	
288	haid hanya hari setelah minum obat hormon	1	haid	O	B-GEJALA	O	
290	bagaimana interaksi obat diuretik dengan makanan	4	diuretik	O	I-OBAT	I-OBAT	
295	vagina keluar darah di luar siklus haid	5	luar	O	B-GEJALA	O	
295	vagina keluar darah di luar siklus haid	6	siklus	B-GEJALA	I-GEJALA	O	
297	mata terasa gatal setelah menggunakan kacamata baru	2	terasa	B-GEJALA	O	O	
297	mata terasa gatal setelah menggunakan kacamata baru	3	gatal	I-GEJALA	B-GEJALA	B-GEJALA	
298	muncul reaksi gatal di kulit saat merasa sejuk atau dingin	1	muncul	B-GEJALA	O	O	
298	muncul reaksi gatal di kulit saat merasa sejuk atau dingin	2	reaksi	I-GEJALA	O	O	
298	muncul reaksi gatal di kulit saat merasa sejuk atau dingin	3	gatal	I-GEJALA	B-GEJALA	B-GEJALA	
299	dosis dan tata cara konsumsi obat sirup	7	sirup	B-DOSIS	I-OBAT	B-DOSIS	
300	nyeri di panggul hingga terasa ke paha dan perut bawah disertai menstruasi tidak lancar	13	tidak	B-GEJALA	I-GEJALA	B-GEJALA	
